round,benchmark_ag,candidate_ag,euclidean_distance
1,0,0,9.0057677573087
1,0,1,9.414357970179342
2,0,0,3.8577280542817314
2,0,1,4.093186793937932
3,0,0,3.043979831586368
3,0,1,3.3424571273929997
4,0,0,2.7010813631604162
4,0,1,2.9489905261765683
5,0,0,2.612856523268853
5,0,1,2.743014208182872
6,0,0,2.5541165333379334
6,0,1,2.724797395247327
7,0,0,2.4253215827512387
7,0,1,2.6726825861763297
