timestep,x_mse,x_psnr,x_lpips,x0_mse,x0_psnr,x0_lpips
0,0.0066683790646493435,21.75979720630726,0.45600005984306335,0.0066683790646493435,21.75979720630726,0.45600005984306335
100,0.03503512591123581,14.554963173752963,1.0250802040100098,0.0076616182923316956,21.156794886963837,0.486350417137146
200,0.06314553320407867,11.996573651946585,1.1453264951705933,0.009511856362223625,20.217347165858193,0.5227426886558533
300,0.08978843688964844,10.467795889269402,1.190064787864685,0.013945922255516052,18.555527601905077,0.6198112368583679
400,0.09074042737483978,10.421991795983521,1.2134720087051392,0.026529129594564438,15.762769987353035,0.7571112513542175
500,0.10740387439727783,9.689800519790218,1.2255443334579468,0.042591728270053864,13.706747369415343,0.8655551075935364
600,0.10501629114151001,9.787433237486304,1.2230397462844849,0.06281916797161102,12.019078200503934,1.0273545980453491
700,0.09935063123703003,10.028293691994804,1.2323278188705444,0.09846444427967072,10.06720565855794,1.1581746339797974
800,0.10128467530012131,9.944562598328393,1.2606393098831177,0.13785669207572937,8.605721467796908,1.3718396425247192
900,0.09880249947309494,10.05232068634616,1.2377524375915527,0.1668679416179657,7.776270912161442,1.4098410606384277
