timestep,x_mse,x_psnr,x_lpips,x0_mse,x0_psnr,x0_lpips
0,0.1721872091293335,7.639991131080896,0.7185067534446716,0.1721872091293335,7.639991131080896,0.7185067534446716
100,0.06626640260219574,11.787066052716138,0.8108159303665161,0.17702949047088623,7.519543806328706,0.7221543192863464
200,0.06764005869626999,11.697960242047644,0.8993499875068665,0.18090564012527466,7.4254789285771094,0.7269554138183594
300,0.06858010590076447,11.638018485870397,0.9793192744255066,0.1834995001554489,7.363651144093088,0.736828625202179
400,0.07288333028554916,11.373717911998094,1.0651607513427734,0.18622398376464844,7.299643870180783,0.739642858505249
500,0.07937224209308624,11.003313516472147,1.1139683723449707,0.18707166612148285,7.279919857705426,0.743554949760437
600,0.08075558394193649,10.928274381445252,1.1408401727676392,0.18974533677101135,7.218288886314466,0.7385640740394592
700,0.11794787645339966,9.283098737938383,1.130328893661499,0.19266852736473083,7.1518922207595175,0.7532593607902527
800,0.08371718972921371,10.771853587564271,1.1676911115646362,0.20327070355415344,6.919252096629941,0.7728241682052612
900,0.132028728723526,8.793315584262139,1.1626065969467163,0.21824507415294647,6.610555496491316,0.7830705046653748
